What objects that satisfy the following statement : (subject : Nobel Prize in Physiology or Medicine | relation : awardWonBy | objects : ?)
What objects that satisfy the following statement : (subject : The Rachel Zoe Project | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Close to Home | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : James May's Toy Stories | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Ross Kemp on Gangs | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Get This Party Started | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Tears in Heaven | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : La Madrastra | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Tate | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Meeting Place Cannot Be Changed | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Scene of the Crime | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Beiderbecke Connection | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Daily Dose of Sunshine | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Morocco: Love in Times of War | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Kids from 47A | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Don't Mess with an Angel | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : I Am Sam | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Marco – Über Meere und Berge | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Major Crimes | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Journey to Fearless | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Legends | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Guapas | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Breaking the Magician's Code: Magic's Biggest Secrets Finally Revealed | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Bodies | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Anthony Bourdain: Parts Unknown | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : El último rey | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Miranda | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Morgonsoffan | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Chocolate | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Anderson Live | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Rozsudek | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Fireside Theater | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Ridley Road | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Awkward | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Blue's Room | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : My Sweet Lie | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Disney anthology television series | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Crystal Maze | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : White Collar Blue | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Adam-12 | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Oddville, MTV | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Coffee, Do Me a Favor | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Comeback | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Come on Down! The Game Show Story | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Anger Management | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Remedy | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Bitten | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Ten Years Late | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Dominion | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Fleksnes Fataliteter | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Reply 1994 | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Untouchables | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Drama Stage | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Love Boat | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Secret Fortune | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : El Sexo Débil | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Big Train | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Aba Metapelet | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : FBI: The Untold Stories | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Akkad Bakkad Bambey Bo | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Breakfast with Frost | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Pacific | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Pablo y Andrea | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Making History | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Make Your Own Kind of Music | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Treme | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Resurrection | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Alan Carr: Chatty Man | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : 500 Nations | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : My Boys | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Maverick | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Royal Bodyguard | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Branded | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Underbelly | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Natalia del Mar | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Robert Montgomery Presents | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Liaison | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Yellowthread Street | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Con el culo al aire | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : World of Giants | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Silk Stalkings | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Bas-Boris Bode | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Super Adventure Team | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : The Trivial Pursuits of Arthur Banks | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Platinum Weddings | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : Captain Midnight | relation : seriesHasNumberOfEpisodes | objects : ?)
What objects that satisfy the following statement : (subject : honorary doctor of Stockholm University | relation : awardWonBy | objects : ?)
What objects that satisfy the following statement : (subject : Grammy Award for Best Rock Album | relation : awardWonBy | objects : ?)
What objects that satisfy the following statement : (subject : honorary doctor of the Yale University | relation : awardWonBy | objects : ?)
What objects that satisfy the following statement : (subject : Order of the Aztec Eagle | relation : awardWonBy | objects : ?)
What objects that satisfy the following statement : (subject : AAAI Fellow | relation : awardWonBy | objects : ?)
What objects that satisfy the following statement : (subject : Sakharov Prize | relation : awardWonBy | objects : ?)
What objects that satisfy the following statement : (subject : Presidential Medal of Freedom | relation : awardWonBy | objects : ?)
What objects that satisfy the following statement : (subject : Turing Award | relation : awardWonBy | objects : ?)
What objects that satisfy the following statement : (subject : Félix Houphouët-Boigny Peace Prize | relation : awardWonBy | objects : ?)
What objects that satisfy the following statement : (subject : American Library Association Honorary Membership | relation : awardWonBy | objects : ?)
What objects that satisfy the following statement : (subject : Bharti Airtel | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : RPS Group | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : United Wire Factories Co. | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Onex Corporation | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : ekoka | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Cylon Controls Ltd. | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : The Home Depot | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Italia Independent Group | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Masaryk Station Development | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : DuPont | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Bisichi Mining | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : ABC-Mart | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : airBaltic | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Savencia Fromage & Dairy | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : WINOX HOLDINGS LIMITED | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Tatra Asset Management, správ. spol., a.s., PrivateDeposit Fund o.p.f. | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Sterbekasse Evangelischer Freikirchen | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : 2 Entertain | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Nordfrost | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Hexion | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Porsche Automobil Holding SE | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Malaysia Airlines | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Imperial Hotel | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Global Strategic Group Limited | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : DIC Corporation | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : WildBrain | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Kader | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Ugo Média | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Leclanché | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : FujiGen | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Qype | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Life Insurance Corporation of India | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Shochiku | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Silver Pictures | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : N.S.C. s. r. o. | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Aisin Seiki | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Infosys | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Calpine | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Skycity Entertainment Group | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Medtronic plc | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Gebrüder Späth | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Arduino | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Toei Animation | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Delta-galil Industries Ltd. | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : 47 Street | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : KAM HING INTERNATIONAL HOLDINGS LIMITED | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Dolby | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Aguas Solán de Cabras, S.A. | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : WILL,Co.,Ltd. | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : NATURTEP | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Huta Bankowa | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Edison International | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : KONČAR Group | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Londonderry and Enniskillen Railway | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Nike | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : BDO | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Comindico | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : DRDGOLD Limited | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : J. C. Penney | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : XIBEI BEARING CO.,LTD. | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Bělehradská Invest | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Celldex Therapeutics | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : AvalonBay Communities | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Leonardo | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Instant Factoring IFN | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Daibiru Corporation | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Nortuno | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : CHINA WATER INDUSTRY GROUP LIMITED | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : RetailMeNot | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Time Inc. | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Bank of Communications | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Questerre Energy | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Kronospan CR | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Dwyer Brothers Stable | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : IBOS | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : FirstBank Holding Co | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Kajima Corporation | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Toho | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Ashot - Ashkelon Industries Ltd. | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Kintetsu Real Estate | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Automatic Data Processing | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Bayu Buana | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Nordic Investment Bank | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Baidu | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Solar Meclov | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Lotte Chemical Titan | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Reddit Inc. | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Lear Corporation | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Southwest Airlines | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : McAfee, LLC | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Uber | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Enel Generación Chile | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Stadtwerke Greifswald | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Pštrossova 24 | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Orbis | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Mercedes-Benz Group | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Harte | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Hilton Grand Vacations | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : ČEZ Group | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Asuransi Ramayana | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Ethiopia | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Russia | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Bangladesh | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Uruguay | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Namibia | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Antigua and Barbuda | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Burkina Faso | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Central African Republic | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Malta | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : The Gambia | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Belarus | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Maldives | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Lesotho | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Greece | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Andorra | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Marshall Islands | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Barbados | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Romania | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Brunei | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Eritrea | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Mongolia | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Latvia | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Samoa | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Malawi | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Djibouti | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Tuvalu | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Equatorial Guinea | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Panama | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Oman | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : North Korea | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Solomon Islands | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Gabon | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Eswatini | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Comoros | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Venezuela | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Guinea-Bissau | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : East Timor | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Serbia | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Albania | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Dominican Republic | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Armenia | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Cambodia | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Tonga | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Palestine | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Tunisia | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Mexico | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Australia | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Bahamas | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Iraq | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Philippines | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Dominica | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Guyana | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Vanuatu | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Bosnia and Herzegovina | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Turkey | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Bhutan | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Mauritania | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Norway | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : South Ossetia | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Croatia | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Poland | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Turkmenistan | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Malaysia | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Nepal | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Saint Pierre and Miquelon | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Saint Lucia | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Cape Verde | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Jordan | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Nerses Bedros XIX Tarmouni | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Juan Luis Galiardo | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : John Hurt | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Joseph L. Goldstein | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Leonard Susskind | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Tom Brokaw | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Pavel Lebeshev | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Kari Aronpuro | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Sathamangalam Ranga Iyengar Srinivasa Varadhan | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Toshihide Maskawa | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Adrien Zeller | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Christoph Eschenbach | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Erich Bethe | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Hubert Burda | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Evi Nemeth | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Augusto Fantozzi | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Mansur Şihapof | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Larisa Golubkina | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Levon Helm | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Bolesław Zoń | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Yvonne Blake | relation : personHasCityOfDeath | objects : ?)
What objects that satisfy the following statement : (subject : Ursula Krinzinger | relation : personHasCityOfDeath | objects : ?)
